# BOBA Playbook pHash index — generated by scripts/build_phash_index.py
# Cards: 8221 · Format: bobaId|<16-hex-char> (LSB-first 64-bit pHash)
# Browser-side hash MUST stay in sync with computeFramePhash in js/app.js.
126-Warden-Base Set-First Edition-STEEL|5b2656f69612cd0d
126-Wargod-Base Set-First Edition-STEEL|b461729d29c6cb39
127-Bionic-Base Set-First Edition-FIRE|574f2cb4c6bc2923
127-Donny Buckets-Base Set-First Edition-STEEL|73a1964e6496db29
127-PB Buckets-Base Set-First Edition-STEEL|16e46e93cb9c6623
128-Bionic-Base Set-First Edition-ICE|791f1e94c6bc2a23
128-Skuba-Base Set-First Edition-STEEL|3861e494dc36679b
128-Warp-Base Set-First Edition-STEEL|1a2d3c7c78d6c703
129-Bionic-Base Set-First Edition-STEEL|7d491996e6fc4903
129-Haliburst-Base Set-First Edition-STEEL|9987231ddcbc4783
129-Harpoon-Base Set-First Edition-STEEL|b623568c2c76cba9
13-Cupid-Base Set-2026 Edition-FIRE|3bd2e9ac6632ce09
13-Merri-Go-Round-Base Set-First Edition-FIRE|5ee447b4e3369909
13-Victory-Base Set-First Edition-FIRE|4ec2123e6e5ed531
130-Dart-Board-Base Set-First Edition-STEEL|53c596996c36e329
130-Mustang-Base Set-First Edition-STEEL|b62d4454b6b64dc9
130-Stitcher-Base Set-First Edition-FIRE|6ea5947c4f9e6821
131-Dumper-Base Set-First Edition-STEEL|7807469fecb4c30b
131-Jaybird-Base Set-First Edition-STEEL|1b8476e12776c89b
131-Stitcher-Base Set-First Edition-ICE|ac3547f61f1e48a1
132-J-Jetts-Base Set-First Edition-STEEL|c6893cf20bf4f40b
132-Stitcher-Base Set-First Edition-STEEL|72279e780f9ec8a1
132-Switchblade-Base Set-First Edition-STEEL|13e4d6ad6c16c38b
133-Cupid-Base Set-2026 Edition-STEEL|32b3c68d7cb2c709
133-Merri-Go-Round-Base Set-First Edition-STEEL|5ea436366636d989
133-Triple Threat-Base Set-First Edition-FIRE|4373b2b416f4e383
134-Air Ace-Base Set-First Edition-STEEL|5a69a6966cb6c329
134-Shystep-Base Set-First Edition-STEEL|96bf7684c8cc4b0b
134-Triple Threat-Base Set-First Edition-ICE|637196b456f4c683
135-Maxed Out-Base Set-First Edition-STEEL|1b7be6b18806c7b1
135-Ram-Base Set-First Edition-STEEL|7a8d96b49c966329
135-Triple Threat-Base Set-First Edition-STEEL|63b196b417f4c683
136-Freakshow-Base Set-First Edition-STEEL|9a83879c5c3ce3a3
136-King Tuck-Base Set-First Edition-STEEL|728f9e89c7b842a3
137-Lightningrod-Base Set-First Edition-STEEL|c2e11e4f6596cb29
137-Macho-Base Set-First Edition-STEEL|79a5368f0638cfa1
138-Bayou-Base Set-First Edition-STEEL|582586bc1fb66699
138-Gladiator-Base Set-First Edition-STEEL|36c1ccb1f3366683
139-BrockNess-Base Set-First Edition-STEEL|188d76cfc31c6ca3
139-McArmyKnife-Base Set-First Edition-STEEL|5229e8b46696cbab
14-Air Ace-Base Set-First Edition-FIRE|3766369c4cb6ca29
14-Shystep-Base Set-First Edition-FIRE|d647769cccc84b0b
14-Victory-Base Set-First Edition-ICE|0fcc721e9ea6c4a9
140-Fungi-Base Set-2026 Edition-STEEL|162d76966cb3c329
140-Tigre-Base Set-First Edition-STEEL|72a72c36c79c0ea9
141-Cheetah-Base Set-First Edition-STEEL|b5a1863e66f4c989
141-Wattage-Base Set-First Edition-STEEL|6b277cb0e41c478b
142-Gunner-Base Set-First Edition-STEEL|2aaeb495cfbe2421
142-Spider-Base Set-First Edition-STEEL|f485369fcc660399
143-Crews-Missle-Base Set-First Edition-STEEL|f6f16cbc2c06c323
143-Marksman-Base Set-First Edition-STEEL|1b8dd630ccb66789
144-D-Harp-Base Set-First Edition-STEEL|38b5d4b9051c6f2b
144-Unibrow-Base Set-First Edition-STEEL|7429cea61b86e699
145-Exterminaber-Base Set-First Edition-STEEL|16c1c7b47966c61b
145-Jeanetic-Base Set-First Edition-STEEL|5a9d3cb9e236c183
146-Bomber-Base Set-First Edition-STEEL|e6a51a741f96c3a1
146-Doublecheck-Base Set-2026 Edition-STEEL|4965bc99c636e389
147-Caliber-Base Set-2026 Edition-STEEL|99b176a64e16cb89
147-Juice-Base Set-First Edition-STEEL|36a1ce3c33a64e99
148-Attak-Base Set-First Edition-STEEL|782de2e64c3ccb89
