# BOBA Playbook pHash index — generated by scripts/build_phash_index.py
# Cards: 8221 · Format: bobaId|<16-hex-char> (LSB-first 64-bit pHash)
# Browser-side hash MUST stay in sync with computeFramePhash in js/app.js.
CBF-258-Forcefield-Colosseum Battlefoil-First Edition-GLOW|4fe62c34c6b898c7
CBF-259-Amoeba-Colosseum Battlefoil-First Edition-GLOW|ee251ed64efca021
CBF-26-Fingers-Colosseum Battlefoil-Rollie Fingers Debut-HEX|cbe486be879e6023
CBF-260-Action-Colosseum Battlefoil-2026 Edition-GLOW|87c61cbc0f7ce0a3
CBF-261-Go-Cart-Colosseum Battlefoil-First Edition-GLOW|b63d1ef60e9cc029
CBF-262-Castler-Colosseum Battlefoil-First Edition-GLOW|6f8596d696b66821
CBF-263-Bojax-Colosseum Battlefoil-2026 Founding Hero-FIRE|2fc51e3496b6e099
CBF-264-The Kid-Colosseum Battlefoil-Cover Hero-FIRE|9f341edc279cc823
CBF-265-Dr. J-Colosseum Battlefoil-Julius Erving Debut-FIRE|2ebc963c9c6e6283
CBF-266-Freakshow-Colosseum Battlefoil-Giannis Antetokounmpo Unmasked-FIRE|cc6cb6bcb6960a23
CBF-267-Cruze Control-Colosseum Battlefoil-Elly De La Cruz Unmasked-FIRE|87453eb674acc263
CBF-268-Burner-Colosseum Battlefoil-Jalen Brunson Unmasked-FIRE|8e3c17f6acae4889
CBF-269-Unanimous Sandman-Colosseum Battlefoil-Mariano Rivera Debut-FIRE|8f6536b686d6a0a9
CBF-27-Gator-Colosseum Battlefoil-Steve Spurrier Debut-HEX|ce6d373626b6c809
CBF-270-Gigante-Colosseum Battlefoil-Pedro Martínez Debut-FIRE|3ed45f3c269e20a3
CBF-271-Cousin-Colosseum Battlefoil-Randy Quaid Debut-FIRE|4fe494d4343eca2b
CBF-272-Rocket-Colosseum Battlefoil-Roger Clemens Debut-FIRE|9b3d867626b6c889
CBF-273-Troy of Dallas-Colosseum Battlefoil-Troy Aikman Debut-FIRE|ee9d15e41ab2e0a9
CBF-274-Cheryl Bomb-Colosseum Battlefoil-Cheryl Miller Debut-FIRE|3f6d66b6c696a081
CBF-275-Nice Game Pretty Boy-Colosseum Battlefoil-Keith Hernández Debut-FIRE|5fac16f607b2e029
CBF-276-Big Papi-Colosseum Battlefoil-David Ortiz Debut-FIRE|cee4167e13b6e0a1
CBF-277-King Felix-Colosseum Battlefoil-Félix Hernández Debut-FIRE|69bcb67e0e868293
CBF-278-Peppers-Colosseum Battlefoil-Julius Peppers Debut-FIRE|8f3c96b61c9e6229
CBF-279-King Henrik-Colosseum Battlefoil-Henrik Lundqvist Debut-FIRE|e9d436b69e8ea203
CBF-28-ECKS-Colosseum Battlefoil-Dennis Eckersley Debut-HEX|db24b66624b6c8b9
CBF-280-Destroya-Colosseum Battlefoil-Patrick Ewing Debut-FIRE|564e1e9e8ebc6829
CBF-281-Big Geo-Colosseum Battlefoil-Craig Biggio Debut-FIRE|cee51eb60696ca0b
CBF-282-Bags-Colosseum Battlefoil-Jeff Bagwell Debut-FIRE|9f3c56bc059ea823
CBF-283-Goofin' Off-Colosseum Battlefoil-Adrián Beltré Debut-FIRE|0f3cce3a3cb682a9
CBF-284-Mr. October-Colosseum Battlefoil-Reggie Jackson Debut-FIRE|a7a5c7c6369680b9
CBF-285-Tigre-Colosseum Battlefoil-Miguel Cabrera Unmasked-FIRE|43bd16d63cb6c0a9
CBF-286-Senior-Colosseum Battlefoil-Ken Griffey Sr. Debut-FIRE|1b3c1eb64678e887
CBF-287-Ramponage-Colosseum Battlefoil-Christie Pearce Rampone Debut-FIRE|0f64c6b636d6c8a9
CBF-288-Fingers-Colosseum Battlefoil-Rollie Fingers Debut-FIRE|1bb49ebc86b6602b
CBF-289-Gator-Colosseum Battlefoil-Steve Spurrier Debut-FIRE|ce7c364e2eb68889
CBF-29-All day-Colosseum Battlefoil-Adrian Peterson Debut-HEX|2fb4877c0cb6e08b
CBF-290-ECKS-Colosseum Battlefoil-Dennis Eckersley Debut-FIRE|c344f6f6369c48a9
CBF-291-All day-Colosseum Battlefoil-Adrian Peterson Debut-FIRE|4e35877c0eb6e889
CBF-292-Smoltzie-Colosseum Battlefoil-John Smoltz Debut-FIRE|5fe586fc24360aa3
CBF-293-Pudge-Colosseum Battlefoil-Carlton Fisk Debut-FIRE|0b6c0ede2dbcc8a9
CBF-294-Vlad the Impaler-Colosseum Battlefoil-Vladimir Guerrero Sr. Debut-FIRE|4bf41672b4bc2c2d
CBF-295-Billhook-Colosseum Battlefoil-Chauncey Billups Debut-FIRE|6f34969e37964a21
CBF-296-Mull & Bones-Colosseum Battlefoil-Chris Mullin Debut-FIRE|66edbe960ed6c021
CBF-297-Bells-Colosseum Battlefoil-George Bell Debut-FIRE|3ecd14e4cd3ce283
CBF-298-Rainestorm-Colosseum Battlefoil-Tim Raines Debut-FIRE|87f40f3c669388ab
CBF-299-The Red Baron-Colosseum Battlefoil-Rick Sutcliffe Debut-FIRE|8bed1efe0636a089
CBF-3-Dr. J-Colosseum Battlefoil-Julius Erving Debut-HEX|6e9c967c87a66483
CBF-30-Smoltzie-Colosseum Battlefoil-John Smoltz Debut-HEX|4fe4069c07bee8a3
CBF-300-JAW-JAW-Colosseum Battlefoil-Ron Jaworski Debut-FIRE|e6b4173e0e78e883
CBF-301-Gar-Colosseum Battlefoil-Edgar Martinez Debut-FIRE|66ac36ee1cf4e209
CBF-302-JPEG-Colosseum Battlefoil-Jessica Pegula Debut-FIRE|4e25a67407b6ce8b
CBF-303-Captain Hook-Colosseum Battlefoil-Jack Morris Debut-FIRE|cb3476ceb4b604a9
CBF-304-Hambone-Colosseum Battlefoil-Jack Ham Debut-FIRE|3df5c6b4969e2203
CBF-305-Highway to Helton-Colosseum Battlefoil-Todd Helton Debut-FIRE|1fdcf2b616160aa9
CBF-306-Tommy G-Colosseum Battlefoil-Tom Glavine Debut-FIRE|66c41ce48e3eaa9b
CBF-307-Herro-Colosseum Battlefoil-Tyler Herro Debut-FIRE|2f2496dc9e3268ab
CBF-308-Bern Baby, Bern-Colosseum Battlefoil-Bernie Williams Debut-FIRE|0b6cb6b6e6d64069
CBF-309-Altitude-Colosseum Battlefoil-Jozy Altidore Debut-FIRE|8e3d9cd60eb6a229
CBF-31-Pudge-Colosseum Battlefoil-Carlton Fisk Debut-HEX|4b6c4ede25bc08b9
CBF-310-Eraser-Colosseum Battlefoil-Alysha Clark Debut-FIRE|ce74b64666bc88a9
CBF-311-Belladonna-Colosseum Battlefoil-Elena Delle Donne Debut-FIRE|cfcc063606be68ab
CBF-312-Shells-Colosseum Battlefoil-Donnie Shell Debut-FIRE|0eb416f6179e682b
CBF-313-Boston Strongboy-Colosseum Battlefoil-Jim Rice Debut-FIRE|671e1ef690f4602b
CBF-314-Walk The Plank-Colosseum Battlefoil-Doug Plank Debut-FIRE|a7d64ee4941e6a23
CBF-315-Robin Hood-Colosseum Battlefoil-Robin Yount Debut-FIRE|cff496760e8648a9
CBF-316-Santa-Moss-Colosseum Battlefoil-Santana Moss Debut-FIRE|8ea5167633bae223
CBF-317-Joystick-Colosseum Battlefoil-Dante Hall Debut-FIRE|a7cc0cb6ccbca2a3
CBF-318-Perkolator-Colosseum Battlefoil-Sam Perkins Debut-FIRE|e9d49eb4d6da0207
CBF-319-Ante-de-something T-Colosseum Battlefoil-Thanasis Antetokounmpo Debut-FIRE|6be51e9e86b62223
CBF-32-Vlad the Impaler-Colosseum Battlefoil-Vladimir Guerrero Sr. Debut-HEX|6bb49632b6b240af
CBF-320-Ante-de something K-Colosseum Battlefoil-Kostas Antetokounmpo Debut-FIRE|c7e43fbc4432c28b
CBF-321-Ante-de-something A-Colosseum Battlefoil-Alex Antetokounmpo Debut-FIRE|5b5c97b6a6b66021
CBF-322-Mr. Clean-Colosseum Battlefoil-Steve Garvey Debut-FIRE|2fcc9ebc06b2e889
CBF-323-Rollin'-Colosseum Battlefoil-Scott Rolen Debut-FIRE|9e94c6f44e5aa8a9
CBF-324-Game Over-Colosseum Battlefoil-Éric Gagné Debut-FIRE|ce641ece2c3ce8a9
CBF-325-PG-D3-Colosseum Battlefoil-Pierre Garçon Debut-FIRE|16cc8cbce4be3a23
CBF-326-Dunker-Colosseum Battlefoil-John Starks Debut-FIRE|6be48ebc0638e88f
CBF-327-Pauldron-Colosseum Battlefoil-Paula Badosa Debut-FIRE|fbe417fc869e0803
CBF-328-Game Time-Colosseum Battlefoil-Jim Boeheim Debut-FIRE|ceb416fc0cb2e22b
CBF-329-Butterfly Sting-Colosseum Battlefoil-First Edition-FIRE|27f493b436b6488b
CBF-33-Billhook-Colosseum Battlefoil-Chauncey Billups Debut-HEX|4f349696339ec82b
CBF-330-Maverick-Colosseum Battlefoil-First Edition-FIRE|3e6496f64fb22289
CBF-331-Mad Scientist-Colosseum Battlefoil-First Edition-FIRE|46a4bfbe8eb260a1
CBF-332-Alexander the Great-Colosseum Battlefoil-First Edition-FIRE|c3e495bc7612aaa9
CBF-333-PB Buckets-Colosseum Battlefoil-First Edition-FIRE|7e7c06768eb2a289
CBF-334-Maverick-Colosseum Battlefoil-First Edition-FIRE|de156ece2a9ac829
CBF-335-Gaveler-Colosseum Battlefoil-2026 Edition-FIRE|7ef496fc0496c283
CBF-336-Victory-Colosseum Battlefoil-2026 Edition-FIRE|1b7c16be2cb4e889
CBF-337-Dijon-Colosseum Battlefoil-First Edition-FIRE|cf6c32363692c83d
CBF-338-Crosbow-Colosseum Battlefoil-First Edition-FIRE|27749efc063ce883
CBF-339-Warden-Colosseum Battlefoil-First Edition-FIRE|8e5c4be69abb8889
CBF-34-Mull & Bones-Colosseum Battlefoil-Chris Mullin Debut-HEX|638c1bde24f6c22b
CBF-340-PB Buckets-Colosseum Battlefoil-First Edition-FIRE|6e2417f69cb6e209
CBF-341-Skuba-Colosseum Battlefoil-First Edition-FIRE|dbe436be26968829
CBF-342-Haliburst-Colosseum Battlefoil-First Edition-FIRE|27b517f698bc6203
CBF-343-Dart-Board-Colosseum Battlefoil-First Edition-FIRE|6f5712bcc0b626a3
CBF-344-Dumper-Colosseum Battlefoil-First Edition-FIRE|3fa70e5e8cb8e083
CBF-345-Switchblade-Colosseum Battlefoil-First Edition-FIRE|4f6c6e6cb1b06ca1
CBF-346-Cupid-Colosseum Battlefoil-2026 Edition-FIRE|8f6536de3cb2c809
CBF-347-Air Ace-Colosseum Battlefoil-First Edition-FIRE|2e2536dc67b6882b
CBF-348-Maxed Out-Colosseum Battlefoil-First Edition-FIRE|0f7d96b206bca887
CBF-349-King Tuck-Colosseum Battlefoil-First Edition-FIRE|5ad486fcc49c38a7
CBF-35-Bells-Colosseum Battlefoil-George Bell Debut-HEX|36ed1df40c36a28b
CBF-350-Macho-Colosseum Battlefoil-First Edition-FIRE|6f941ee41e3ce093
CBF-351-Gladiator-Colosseum Battlefoil-First Edition-FIRE|afe506b606bcc88b
CBF-352-BrockNess-Colosseum Battlefoil-First Edition-FIRE|8ebcece407be8283
CBF-353-Fungi-Colosseum Battlefoil-2026 Edition-FIRE|9b7d0f1e70b38829
CBF-354-Wattage-Colosseum Battlefoil-First Edition-FIRE|9eb48efc259a8a23
CBF-355-Gunner-Colosseum Battlefoil-First Edition-FIRE|4e2cb6d69eba0839
CBF-356-Marksman-Colosseum Battlefoil-First Edition-FIRE|96c44cb6c69cbaa3
CBF-357-D-Harp-Colosseum Battlefoil-First Edition-FIRE|cc64a49c9abcee23
CBF-358-Jeanetic-Colosseum Battlefoil-First Edition-FIRE|939cbeba2bb06861
CBF-359-Doublecheck-Colosseum Battlefoil-2026 Edition-FIRE|1ba49efe869a6823
CBF-36-Rainestorm-Colosseum Battlefoil-Tim Raines Debut-HEX|93f44f38c6b620ab
CBF-360-Caliber-Colosseum Battlefoil-2026 Edition-FIRE|4fac9676bc1602b9
CBF-361-Escape Artist-Colosseum Battlefoil-First Edition-FIRE|4fe596b61396e023
CBF-362-J-Cam-Colosseum Battlefoil-First Edition-FIRE|6ef49c7c861e6283
CBF-363-Generator-Colosseum Battlefoil-First Edition-FIRE|fbee3e960cb2c201
CBF-364-Tattoo-Colosseum Battlefoil-2026 Edition-FIRE|3eec1ef4c6362223
CBF-365-Brawn-Colosseum Battlefoil-First Edition-FIRE|6ea4967e8aec6093
CBF-366-Cicada-Colosseum Battlefoil-First Edition-FIRE|db3ce6d42cb28a0d
CBF-367-Courthouse-Colosseum Battlefoil-First Edition-FIRE|8fb41ef6069ae027
CBF-368-Bandelero-Colosseum Battlefoil-2026 Edition-FIRE|8ee486f4cb9e22a3
CBF-369-Kettle-Bell-Colosseum Battlefoil-First Edition-FIRE|c7953a761eb8c889
CBF-37-The Red Baron-Colosseum Battlefoil-Rick Sutcliffe Debut-HEX|96e406fe0db6e08b
CBF-370-JacHammer-Colosseum Battlefoil-First Edition-FIRE|cf6596962796c823
CBF-371-BaldWing-Colosseum Battlefoil-First Edition-FIRE|eb860ecebeb48425
CBF-372-Rook-Colosseum Battlefoil-First Edition-FIRE|96f4c7bc16cc6823
CBF-373-Camera-Colosseum Battlefoil-First Edition-FIRE|37e516b68fb62089
CBF-374-Homestead-Colosseum Battlefoil-First Edition-FIRE|cf2c8abe3696c461
CBF-375-Scary-Colosseum Battlefoil-First Edition-FIRE|0f949e3a1ee268ad
CBF-376-Canine-Colosseum Battlefoil-First Edition-FIRE|af641e36cdba208d
CBF-377-Superbaby-Colosseum Battlefoil-2026 Edition-FIRE|cedc0eee2eb2c085
CBF-378-Javalanche-Colosseum Battlefoil-2026 Edition-FIRE|47248ef6879be0a3
CBF-379-Wild Bill-Colosseum Battlefoil-First Edition-FIRE|5ef536f600b6c01b
CBF-38-JAW-JAW-Colosseum Battlefoil-Ron Jaworski Debut-HEX|0e9cdbecb4b640a3
CBF-380-Thorn-Colosseum Battlefoil-First Edition-FIRE|5e9c16f6c792a0a3
CBF-381-Chiller-Colosseum Battlefoil-First Edition-FIRE|6be49f3686986887
CBF-382-Zephyr-Colosseum Battlefoil-First Edition-FIRE|cbdc3e36c29e4883
CBF-383-Lumber-Colosseum Battlefoil-First Edition-FIRE|936696be093e688b
CBF-384-Golden Bullet-Colosseum Battlefoil-First Edition-FIRE|e6cc1ce4ce3ea283
CBF-385-Ozzmosis-Colosseum Battlefoil-First Edition-FIRE|1adc96b6c7b6208b
CBF-386-DeKap-Colosseum Battlefoil-First Edition-FIRE|4e754ffc21bc02a3
CBF-387-Bell-Camp-Colosseum Battlefoil-First Edition-FIRE|ebf43cb483d60a89
CBF-388-Bangford-Colosseum Battlefoil-First Edition-FIRE|0ba69e9a2674ea87
CBF-389-Forcefield-Colosseum Battlefoil-First Edition-FIRE|cbec06f6b882c2b9
CBF-39-Gar-Colosseum Battlefoil-Edgar Martinez Debut-HEX|27cd9eb61c366229
CBF-390-Amoeba-Colosseum Battlefoil-First Edition-FIRE|4e271ef64afc8423
CBF-391-Action-Colosseum Battlefoil-2026 Edition-FIRE|a7d61cac8ed8e0a3
CBF-392-Go-Cart-Colosseum Battlefoil-First Edition-FIRE|36241f9e665ec8a3
CBF-393-Castler-Colosseum Battlefoil-First Edition-FIRE|cf9d169696366823
CBF-394-Bojax-Colosseum Battlefoil-2026 Founding Hero-ICE|2fc51e3496b66899
CBF-395-The Kid-Colosseum Battlefoil-Cover Hero-ICE|8e6516de1b3ca8a3
CBF-396-Dr. J-Colosseum Battlefoil-Julius Erving Debut-ICE|6e9c9e7c8e2c6283
CBF-397-Freakshow-Colosseum Battlefoil-Giannis Antetokounmpo Unmasked-ICE|cd7cf6fcb4920221
CBF-398-Cruze Control-Colosseum Battlefoil-Elly De La Cruz Unmasked-ICE|2f1696b47c72a28d
CBF-399-Burner-Colosseum Battlefoil-Jalen Brunson Unmasked-ICE|66b4b7741eda4889
CBF-4-Freakshow-Colosseum Battlefoil-Giannis Antetokounmpo Unmasked-HEX|cf6ce68626b6c829
CBF-40-JPEG-Colosseum Battlefoil-Jessica Pegula Debut-HEX|5a3487f62796c88b
CBF-400-Unanimous Sandman-Colosseum Battlefoil-Mariano Rivera Debut-ICE|cbd5363602d6e8a9
CBF-401-Gigante-Colosseum Battlefoil-Pedro Martínez Debut-ICE|1e9d8f7e26b62023
CBF-402-Cousin-Colosseum Battlefoil-Randy Quaid Debut-ICE|0fb594f42636ca2b
CBF-403-Rocket-Colosseum Battlefoil-Roger Clemens Debut-ICE|1f3d96760696a8a9
CBF-404-Troy of Dallas-Colosseum Battlefoil-Troy Aikman Debut-ICE|6ebc94f443d6a8a1
CBF-405-Cheryl Bomb-Colosseum Battlefoil-Cheryl Miller Debut-ICE|6e6e0ebe8e94e0a1
CBF-406-Nice Game Pretty Boy-Colosseum Battlefoil-Keith Hernández Debut-ICE|2ded96964376e0a1
CBF-407-Big Papi-Colosseum Battlefoil-David Ortiz Debut-ICE|8eec1efe03b6a0a1
CBF-408-King Felix-Colosseum Battlefoil-Félix Hernández Debut-ICE|7b659ef40e9482a3
CBF-409-Peppers-Colosseum Battlefoil-Julius Peppers Debut-ICE|871d9eb61696ca29
CBF-41-Captain Hook-Colosseum Battlefoil-Jack Morris Debut-HEX|cf2cf6ce87b208a1
CBF-410-King Henrik-Colosseum Battlefoil-Henrik Lundqvist Debut-ICE|edf496b406ece203
CBF-411-Destroya-Colosseum Battlefoil-Patrick Ewing Debut-ICE|c65c1ede8ebc4829
CBF-412-Big Geo-Colosseum Battlefoil-Craig Biggio Debut-ICE|eee51eb6069cca09
CBF-413-Bags-Colosseum Battlefoil-Jeff Bagwell Debut-ICE|8f7466bc0e9ea8a1
CBF-414-Goofin' Off-Colosseum Battlefoil-Adrián Beltré Debut-ICE|3f2cc61cbcb682a9
CBF-415-Mr. October-Colosseum Battlefoil-Reggie Jackson Debut-ICE|a7a56c7676b68209
CBF-416-Tigre-Colosseum Battlefoil-Miguel Cabrera Unmasked-ICE|6bbc1ed61c90caa9
CBF-417-Senior-Colosseum Battlefoil-Ken Griffey Sr. Debut-ICE|1e3496be46bca8a3
CBF-418-Ramponage-Colosseum Battlefoil-Christie Pearce Rampone Debut-ICE|4f44e6b63666ca89
CBF-419-Fingers-Colosseum Battlefoil-Rollie Fingers Debut-ICE|1bbd9e9c86366889
CBF-42-Hambone-Colosseum Battlefoil-Jack Ham Debut-HEX|6ea497b6869e6823
CBF-420-Gator-Colosseum Battlefoil-Steve Spurrier Debut-ICE|eb3c964e36b488b1
CBF-421-ECKS-Colosseum Battlefoil-Dennis Eckersley Debut-ICE|dbc5367606bcc8a1
CBF-422-All day-Colosseum Battlefoil-Adrian Peterson Debut-ICE|4fb506741eb6e889
CBF-423-Smoltzie-Colosseum Battlefoil-John Smoltz Debut-ICE|5fe586dc243c8aa3
CBF-424-Pudge-Colosseum Battlefoil-Carlton Fisk Debut-ICE|4e6616de0fbc6829
CBF-425-Vlad the Impaler-Colosseum Battlefoil-Vladimir Guerrero Sr. Debut-ICE|0bed36b2b636a289
CBF-426-Billhook-Colosseum Battlefoil-Chauncey Billups Debut-ICE|6d34928e36b6caa9
CBF-427-Mull & Bones-Colosseum Battlefoil-Chris Mullin Debut-ICE|63e59e9e2e56c221
CBF-428-Bells-Colosseum Battlefoil-George Bell Debut-ICE|36ed0dfc4c36a289
CBF-429-Rainestorm-Colosseum Battlefoil-Tim Raines Debut-ICE|87e49e3c66b32a0b
CBF-43-Highway to Helton-Colosseum Battlefoil-Todd Helton Debut-HEX|2ffcd7b616362009
CBF-430-The Red Baron-Colosseum Battlefoil-Rick Sutcliffe Debut-ICE|8fed16b626b6e081
CBF-431-JAW-JAW-Colosseum Battlefoil-Ron Jaworski Debut-ICE|ee94176c16f2e889
CBF-432-Gar-Colosseum Battlefoil-Edgar Martinez Debut-ICE|67cd96f61c70e209
CBF-433-JPEG-Colosseum Battlefoil-Jessica Pegula Debut-ICE|4335b676869e6a89
CBF-434-Captain Hook-Colosseum Battlefoil-Jack Morris Debut-ICE|cb34f2cebcb60229
CBF-435-Hambone-Colosseum Battlefoil-Jack Ham Debut-ICE|3fe586f4999e2203
CBF-436-Highway to Helton-Colosseum Battlefoil-Todd Helton Debut-ICE|3fdcf2b606362a09
CBF-437-Tommy G-Colosseum Battlefoil-Tom Glavine Debut-ICE|e6c458f486bcaa93
CBF-438-Herro-Colosseum Battlefoil-Tyler Herro Debut-ICE|2fa49e360e9e68a3
CBF-439-Bern Baby, Bern-Colosseum Battlefoil-Bernie Williams Debut-ICE|2becb636e6d440e1
CBF-44-Tommy G-Colosseum Battlefoil-Tom Glavine Debut-HEX|9be4a63c4396a8ab
CBF-440-Altitude-Colosseum Battlefoil-Jozy Altidore Debut-ICE|1b349c960efea2a9
CBF-441-Eraser-Colosseum Battlefoil-Alysha Clark Debut-ICE|cfe536b6463c8889
CBF-442-Belladonna-Colosseum Battlefoil-Elena Delle Donne Debut-ICE|decc163626bca8a3
CBF-443-Shells-Colosseum Battlefoil-Donnie Shell Debut-ICE|4ea51ef6169ce829
CBF-444-Boston Strongboy-Colosseum Battlefoil-Jim Rice Debut-ICE|6796167c98f462a3
CBF-445-Walk The Plank-Colosseum Battlefoil-Doug Plank Debut-ICE|2fd7c6ec14b26223
CBF-446-Robin Hood-Colosseum Battlefoil-Robin Yount Debut-ICE|cf24b6f60696c8a9
CBF-447-Santa-Moss-Colosseum Battlefoil-Santana Moss Debut-ICE|ce2516f63636e2a1
CBF-448-Joystick-Colosseum Battlefoil-Dante Hall Debut-ICE|27e49ede4cb4e209
CBF-449-Perkolator-Colosseum Battlefoil-Sam Perkins Debut-ICE|e9d49eb45676820b
CBF-45-Herro-Colosseum Battlefoil-Tyler Herro Debut-HEX|2ff496be149e2831
CBF-450-Ante-de-something T-Colosseum Battlefoil-Thanasis Antetokounmpo Debut-ICE|eeb49e9686b4222b
CBF-451-Ante-de something K-Colosseum Battlefoil-Kostas Antetokounmpo Debut-ICE|33e537360674e88b
CBF-452-Ante-de-something A-Colosseum Battlefoil-Alex Antetokounmpo Debut-ICE|4bac96b6c6b2e027
CBF-453-Mr. Clean-Colosseum Battlefoil-Steve Garvey Debut-ICE|2fcc96b686b6288b
CBF-454-Rollin'-Colosseum Battlefoil-Scott Rolen Debut-ICE|9ebc26fc4e52a0a9
CBF-455-Game Over-Colosseum Battlefoil-Éric Gagné Debut-ICE|c6640edeb1b4e8a9
CBF-456-PG-D3-Colosseum Battlefoil-Pierre Garçon Debut-ICE|33e4ccdc4cbe3223
CBF-457-Dunker-Colosseum Battlefoil-John Starks Debut-ICE|4bec1eb60c3cea89
CBF-458-Pauldron-Colosseum Battlefoil-Paula Badosa Debut-ICE|7be517f4c6960883
CBF-459-Game Time-Colosseum Battlefoil-Jim Boeheim Debut-ICE|6fec86b6139688a9
CBF-46-Bern Baby, Bern-Colosseum Battlefoil-Bernie Williams Debut-HEX|4b3cb69636b648a9
CBF-460-Butterfly Sting-Colosseum Battlefoil-First Edition-ICE|27f49f3436e6820b
CBF-47-Altitude-Colosseum Battlefoil-Jozy Altidore Debut-HEX|3b349e9a5c96c2a9
CBF-48-Eraser-Colosseum Battlefoil-Alysha Clark Debut-HEX|4f34a7c6769688a9
CBF-49-Belladonna-Colosseum Battlefoil-Elena Delle Donne Debut-HEX|8ee416bec7b6208b
CBF-5-Cruze Control-Colosseum Battlefoil-Elly De La Cruz Unmasked-HEX|0fb694be2696e2a1
CBF-50-Shells-Colosseum Battlefoil-Donnie Shell Debut-HEX|0eb516f613ba682b
CBF-51-Boston Strongboy-Colosseum Battlefoil-Jim Rice Debut-HEX|67b49e3c173660a3
CBF-52-Walk The Plank-Colosseum Battlefoil-Doug Plank Debut-HEX|23dc1ef696ac6033
CBF-53-Robin Hood-Colosseum Battlefoil-Robin Yount Debut-HEX|cf7c87b6249648a9
CBF-54-Santa-Moss-Colosseum Battlefoil-Santana Moss Debut-HEX|cea417fe11b6e023
CBF-55-Joystick-Colosseum Battlefoil-Dante Hall Debut-HEX|27e48ede4cb622a9
CBF-56-Perkolator-Colosseum Battlefoil-Sam Perkins Debut-HEX|af9c9e9a1624e08f
CBF-57-Ante-de-something T-Colosseum Battlefoil-Thanasis Antetokounmpo Debut-HEX|cfb4d79696b22029
CBF-58-Ante-de something K-Colosseum Battlefoil-Kostas Antetokounmpo Debut-HEX|d3a436762cbac28d
CBF-59-Ante-de-something A-Colosseum Battlefoil-Alex Antetokounmpo Debut-HEX|dbbc969e06b2e023
CBF-6-Burner-Colosseum Battlefoil-Jalen Brunson Unmasked-HEX|4e9c937c0eba68a5
CBF-60-Mr. Clean-Colosseum Battlefoil-Steve Garvey Debut-HEX|2f9c97fc86bc6003
CBF-61-Rollin'-Colosseum Battlefoil-Scott Rolen Debut-HEX|db96266c8cb4e09b
CBF-62-Game Over-Colosseum Battlefoil-Éric Gagné Debut-HEX|cf641ece25b6c0a9
CBF-63-PG-D3-Colosseum Battlefoil-Pierre Garçon Debut-HEX|36ec9cd6c79e2023
CBF-64-Dunker-Colosseum Battlefoil-John Starks Debut-HEX|6f2c16b616bc28ab
CBF-65-Pauldron-Colosseum Battlefoil-Paula Badosa Debut-HEX|b6e45bfc469e8007
CBF-66-Game Time-Colosseum Battlefoil-Jim Boeheim Debut-HEX|86b417f60d9ee0a3
CBF-67-Butterfly Sting-Colosseum Battlefoil-First Edition-HEX|a77417b616b3600f
CBF-68-Maverick-Colosseum Battlefoil-First Edition-HEX|366d1b760db6228b
CBF-69-Mad Scientist-Colosseum Battlefoil-First Edition-HEX|6fe496be84b66083
CBF-7-Unanimous Sandman-Colosseum Battlefoil-Mariano Rivera Debut-HEX|93d51f7624bc8293
CBF-70-Alexander the Great-Colosseum Battlefoil-First Edition-HEX|83fc9e96a43ce283
CBF-71-PB Buckets-Colosseum Battlefoil-First Edition-HEX|5e2c26b68db6628b
CBF-72-Maverick-Colosseum Battlefoil-First Edition-HEX|ce3566cc25b688b9
CBF-73-Gaveler-Colosseum Battlefoil-2026 Edition-HEX|cec41676079e68ab
CBF-74-Victory-Colosseum Battlefoil-2026 Edition-HEX|0ff41f3e249eca21
CBF-75-Dijon-Colosseum Battlefoil-First Edition-HEX|4fac36363696c8a9
CBF-76-Crosbow-Colosseum Battlefoil-First Edition-HEX|3b849ffc0e3ce083
CBF-77-Warden-Colosseum Battlefoil-First Edition-HEX|8ed453de4aacaca1
CBF-78-PB Buckets-Colosseum Battlefoil-First Edition-HEX|6f2496bc96b66823
CBF-79-Skuba-Colosseum Battlefoil-First Edition-HEX|8fa41eb626bac82d
CBF-8-Gigante-Colosseum Battlefoil-Pedro Martínez Debut-HEX|3f8cdf3a8636208b
CBF-80-Haliburst-Colosseum Battlefoil-First Edition-HEX|2f3507a697bc680b
CBF-81-Dart-Board-Colosseum Battlefoil-First Edition-HEX|27d417bcc7b620a3
CBF-82-Dumper-Colosseum Battlefoil-First Edition-HEX|36c517f685bc6889
CBF-83-Switchblade-Colosseum Battlefoil-First Edition-HEX|4e64ce0c37f2c8b3
CBF-84-Cupid-Colosseum Battlefoil-2026 Edition-HEX|4f6436b61db6c829
CBF-85-Air Ace-Colosseum Battlefoil-First Edition-HEX|ad5617bc47b8a823
CBF-86-Maxed Out-Colosseum Battlefoil-First Edition-HEX|a7b41e9e47b0a88b
CBF-87-King Tuck-Colosseum Battlefoil-First Edition-HEX|52a48ebc87be70a3
CBF-88-Macho-Colosseum Battlefoil-First Edition-HEX|67951e6c04bee09b
CBF-89-Gladiator-Colosseum Battlefoil-First Edition-HEX|af6536b60636c88b
CBF-9-Cousin-Colosseum Battlefoil-Randy Quaid Debut-HEX|0ee496d626b6ca2b
CBF-90-BrockNess-Colosseum Battlefoil-First Edition-HEX|13f44eb67c8682b9
CBF-91-Fungi-Colosseum Battlefoil-2026 Edition-HEX|1f7d0fb6269c2823
